Zip_Code,City,State,County Name
28315,ABERDEEN,NC,MOORE
27006,ADVANCE,NC,DAVIE
27910,AHOSKIE,NC,HERTFORD
27201,ALAMANCE,NC,ALAMANCE
28001,ALBEMARLE,NC,STANLY
28002,ALBEMARLE,NC,STANLY
28508,ALBERTSON,NC,DUPLIN
28701,ALEXANDER,NC,BUNCOMBE
28006,ALEXIS,NC,GASTON
28509,ALLIANCE,NC,PAMLICO
28702,ALMOND,NC,SWAIN
27202,ALTAMAHAW,NC,ALAMANCE
28901,ANDREWS,NC,CHEROKEE
27501,ANGIER,NC,HARNETT
28007,ANSONVILLE,NC,ANSON
27502,APEX,NC,WAKE
27523,APEX,NC,WAKE
27539,APEX,NC,WAKE
28510,ARAPAHOE,NC,PAMLICO
27007,ARARAT,NC,SURRY
28704,ARDEN,NC,BUNCOMBE
28420,ASH,NC,BRUNSWICK
27203,ASHEBORO,NC,RANDOLPH
27204,ASHEBORO,NC,RANDOLPH
27205,ASHEBORO,NC,RANDOLPH
28801,ASHEVILLE,NC,BUNCOMBE
28802,ASHEVILLE,NC,BUNCOMBE
28803,ASHEVILLE,NC,BUNCOMBE
28804,ASHEVILLE,NC,BUNCOMBE
28805,ASHEVILLE,NC,BUNCOMBE
28806,ASHEVILLE,NC,BUNCOMBE
28810,ASHEVILLE,NC,BUNCOMBE
28813,ASHEVILLE,NC,BUNCOMBE
28814,ASHEVILLE,NC,BUNCOMBE
28815,ASHEVILLE,NC,BUNCOMBE
28816,ASHEVILLE,NC,BUNCOMBE
28421,ATKINSON,NC,PENDER
28511,ATLANTIC,NC,CARTERET
28512,ATLANTIC BEACH,NC,CARTERET
27805,AULANDER,NC,BERTIE
27806,AURORA,NC,BEAUFORT
28318,AUTRYVILLE,NC,SAMPSON
27915,AVON,NC,DARE
28513,AYDEN,NC,PITT
27916,AYDLETT,NC,CURRITUCK
28009,BADIN,NC,STANLY
27503,BAHAMA,NC,DURHAM
27807,BAILEY,NC,NASH
28705,BAKERSVILLE,NC,MITCHELL
28707,BALSAM,NC,JACKSON
28708,BALSAM GROVE,NC,TRANSYLVANIA
28604,BANNER ELK,NC,AVERY
27917,BARCO,NC,CURRITUCK
28010,BARIUM SPRINGS,NC,IREDELL
28709,BARNARDSVILLE,NC,BUNCOMBE
28319,BARNESVILLE,NC,ROBESON
28710,BAT CAVE,NC,HENDERSON
27808,BATH,NC,BEAUFORT
27809,BATTLEBORO,NC,EDGECOMBE
28515,BAYBORO,NC,PAMLICO
27207,BEAR CREEK,NC,CHATHAM
28516,BEAUFORT,NC,CARTERET
27009,BELEWS CREEK,NC,FORSYTH
27810,BELHAVEN,NC,BEAUFORT
27811,BELLARTHUR,NC,PITT
28012,BELMONT,NC,GASTON
27919,BELVIDERE,NC,PERQUIMANS
27208,BENNETT,NC,CHATHAM
27504,BENSON,NC,JOHNSTON
28016,BESSEMER CITY,NC,GASTON
27010,BETHANIA,NC,FORSYTH
27812,BETHEL,NC,PITT
28518,BEULAVILLE,NC,DUPLIN
27209,BISCOE,NC,MONTGOMERY
27813,BLACK CREEK,NC,WILSON
28711,BLACK MOUNTAIN,NC,BUNCOMBE
28320,BLADENBORO,NC,BLADEN
27212,BLANCH,NC,CASWELL
27814,BLOUNTS CREEK,NC,BEAUFORT
28605,BLOWING ROCK,NC,WATAUGA
28017,BOILING SPRINGS,NC,CLEVELAND
28422,BOLIVIA,NC,BRUNSWICK
28423,BOLTON,NC,COLUMBUS
27213,BONLEE,NC,CHATHAM
28606,BOOMER,NC,WILKES
28607,BOONE,NC,WATAUGA
28608,BOONE,NC,WATAUGA
27011,BOONVILLE,NC,YADKIN
28018,BOSTIC,NC,RUTHERFORD
28902,BRASSTOWN,NC,CLAY
28712,BREVARD,NC,TRANSYLVANIA
28519,BRIDGETON,NC,CRAVEN
27505,BROADWAY,NC,LEE
27214,BROWNS SUMMIT,NC,GUILFORD
28424,BRUNSWICK,NC,COLUMBUS
28713,BRYSON CITY,NC,SWAIN
27506,BUIES CREEK,NC,HARNETT
27507,BULLOCK,NC,GRANVILLE
27508,BUNN,NC,FRANKLIN
28323,BUNNLEVEL,NC,HARNETT
28425,BURGAW,NC,PENDER
27215,BURLINGTON,NC,ALAMANCE
27216,BURLINGTON,NC,ALAMANCE
27217,BURLINGTON,NC,ALAMANCE
28714,BURNSVILLE,NC,YANCEY
27509,BUTNER,NC,GRANVILLE
27920,BUXTON,NC,DARE
28467,CALABASH,NC,BRUNSWICK
28325,CALYPSO,NC,DUPLIN
27921,CAMDEN,NC,CAMDEN
28326,CAMERON,NC,HARNETT
28542,CAMP LEJEUNE,NC,ONSLOW
28547,CAMP LEJEUNE,NC,ONSLOW
28715,CANDLER,NC,BUNCOMBE
27229,CANDOR,NC,MONTGOMERY
28716,CANTON,NC,HAYWOOD
28019,CAROLEEN,NC,RUTHERFORD
28428,CAROLINA BEACH,NC,NEW HANOVER
27510,CARRBORO,NC,ORANGE
28327,CARTHAGE,NC,MOORE
27511,CARY,NC,WAKE
27512,CARY,NC,WAKE
27513,CARY,NC,WAKE
27518,CARY,NC,WAKE
27519,CARY,NC,WAKE
28020,CASAR,NC,CLEVELAND
28717,CASHIERS,NC,JACKSON
27816,CASTALIA,NC,NASH
28429,CASTLE HAYNE,NC,NEW HANOVER
28609,CATAWBA,NC,CATAWBA
27230,CEDAR FALLS,NC,RANDOLPH
27231,CEDAR GROVE,NC,ORANGE
28520,CEDAR ISLAND,NC,CARTERET
28718,CEDAR MOUNTAIN,NC,TRANSYLVANIA
28430,CERRO GORDO,NC,COLUMBUS
28431,CHADBOURN,NC,COLUMBUS
27514,CHAPEL HILL,NC,ORANGE
27515,CHAPEL HILL,NC,ORANGE
27516,CHAPEL HILL,NC,ORANGE
27517,CHAPEL HILL,NC,ORANGE
27599,CHAPEL HILL,NC,ORANGE
28201,CHARLOTTE,NC,MECKLENBURG
